date,Total Housing Starts,PPI by Deep Sea Freight,PPI by Truckload,Household Estimates,Real GDP per capita,Rental Price,Median Multiple,Mortgage Spread
2015-01-01,1085.0,259.9,144.0,116349.7,58121.0,1194.8287799754398,5.116772823779193,1.8025000000000002
2015-02-01,886.0,267.4,143.1,116253.2,58206.0,1201.3559244362134,5.097244256419296,1.72
2015-03-01,960.0,268.1,143.3,116116.8,58291.0,1210.2997869720464,5.077859735393981,1.72
2015-04-01,1190.0,269.2,143.6,117341.6,58376.0,1219.294368381091,5.058617672790901,1.7120000000000002
2015-05-01,1079.0,269.1,143.6,117173.0,58412.666666666664,1228.514641167519,5.0790330079033,1.6575
2015-06-01,1205.0,263.2,144.7,117342.7,58449.333333333336,1236.3780894355907,5.099299403624573,1.6199999999999999
2015-07-01,1146.0,258.9,144.5,117145.5,58486.0,1242.288062161144,5.119418483904465,1.718
2015-08-01,1130.0,257.9,143.7,117166.2,58480.666666666664,1245.8847645422866,5.139391849169397,1.7325
2015-09-01,1224.0,252.6,143.3,117748.2,58475.333333333336,1247.9366812639564,5.15922107674685,1.7025000000000001
2015-10-01,1058.0,252.7,143.1,117816.0,58470.0,1248.4169654548402,5.178907721280603,1.7079999999999997
2015-11-01,1172.0,249.2,143.3,117801.0,58548.0,1248.9135691523725,5.1450017059024225,1.6666666666666667
2015-12-01,1146.0,242.6,142.0,117707.0,58626.0,1249.329758175501,5.111337752847187,1.698
2016-01-01,1092.0,240.0,140.5,117607.6,58704.0,1252.4949885993128,5.077913279132791,1.8025
2016-02-01,1225.0,236.0,138.9,117514.0,58731.666666666664,1257.4819072517696,5.097807424920488,1.92
2016-03-01,1111.0,238.4,138.7,117401.3,58759.333333333336,1263.819341396033,5.117584329572879,1.8219999999999998
2016-04-01,1163.0,237.1,139.2,118252.0,58787.0,1271.6837316300755,5.137245026441702,1.8
2016-05-01,1148.0,237.7,138.3,118369.0,58886.0,1279.9035400508246,5.109920767771454,1.8025
2016-06-01,1203.0,239.3,138.1,118215.0,58985.0,1288.120928491074,5.082756126735097,1.9100000000000001
2016-07-01,1239.0,237.0,138.5,118466.6,59084.0,1292.9383440204597,5.055749708770178,1.935
2016-08-01,1171.0,240.9,138.5,118294.3,59154.666666666664,1295.134931607319,5.080339611161813,1.8875000000000002
2016-09-01,1068.0,240.9,139.0,119025.9,59225.333333333336,1295.063842474044,5.104787116699757,1.8439999999999999
2016-10-01,1313.0,249.1,139.9,118795.9,59296.0,1293.5776879412049,5.12909345871484,1.6925000000000001
2016-11-01,1140.0,249.7,140.0,118654.2,59362.0,1292.437024801008,5.126391402094643,1.5966666666666667
2016-12-01,1252.0,252.8,140.1,118478.4,59428.0,1291.604111649545,5.1237048579786215,1.7
2017-01-01,1190.0,254.9,140.3,118799.0,59494.0,1296.2905169959784,5.121033693163232,1.7225000000000001
2017-02-01,1271.0,258.2,140.6,119038.0,59574.666666666664,1303.986105871808,5.13456206165389,1.7400000000000002
2017-03-01,1190.0,256.8,139.9,118562.0,59655.333333333336,1315.651413600644,5.148015614834092,1.706
2017-04-01,1146.0,259.4,140.1,119110.0,59736.0,1325.4375079800438,5.16139497161395,1.7650000000000001
2017-05-01,1157.0,262.2,139.7,119203.0,59857.0,1334.764597110564,5.159603148926992,1.7024999999999997
2017-06-01,1249.0,262.2,139.9,118385.0,59978.0,1341.9299715256373,5.157821153949562,1.7079999999999997
2017-07-01,1206.0,264.1,139.9,118490.0,60099.0,1346.828330302864,5.156048906048906,1.6400000000000001
2017-08-01,1159.0,264.3,142.1,119118.0,60290.666666666664,1348.5049406779094,5.235039306914809,1.6919999999999997
2017-09-01,1181.0,264.7,142.7,119646.0,60482.333333333336,1348.8031013154875,5.3136,1.5975
2017-10-01,1257.0,263.1,143.0,120081.0,60674.0,1347.326635795377,5.391734482208393,1.5274999999999999
2017-11-01,1273.0,272.5,145.2,120210.0,60813.666666666664,1347.1659547830482,5.344791003607044,1.555
2017-12-01,1177.0,270.8,147.4,120263.0,60953.333333333336,1348.0873918683667,5.298100830555996,1.5425
2018-01-01,1299.0,275.1,148.3,120269.0,61093.0,1352.857970746374,5.251661918328585,1.4700000000000002
2018-02-01,1277.0,275.4,149.4,119795.0,61174.0,1360.345058502494,5.128849780012571,1.4675000000000002
2018-03-01,1318.0,275.6,149.5,119870.0,61255.0,1369.9426281439116,5.00780031201248,1.6320000000000001
2018-04-01,1276.0,278.3,149.8,121081.0,61336.0,1379.6490169148472,4.888475836431227,1.5725
2018-05-01,1357.0,286.6,151.2,121315.0,61431.333333333336,1387.8994003340126,4.9323285143032916,1.6199999999999999
2018-06-01,1192.0,294.1,152.6,121325.0,61526.666666666664,1395.4799155514684,4.975565058032987,1.6675
2018-07-01,1208.0,300.8,154.0,120815.0,61622.0,1400.927131613326,5.018198362147407,1.65
2018-08-01,1288.0,300.5,154.9,121307.0,61621.0,1404.263629685329,4.942771084337349,1.658
2018-09-01,1250.0,301.1,156.6,121940.0,61620.0,1403.7080555788746,4.868381693090039,1.6324999999999998
2018-10-01,1221.0,304.5,158.1,122378.0,61619.0,1402.9437777117375,4.795008912655971,1.67
2018-11-01,1181.0,305.2,158.5,122474.0,61725.666666666664,1403.5262605998437,4.714271663224157,1.75
2018-12-01,1095.0,304.5,158.6,122556.0,61832.333333333336,1405.623058008657,4.634622899570145,1.8024999999999998
2019-01-01,1226.0,307.2,156.5,122429.0,61939.0,1409.929375190213,4.556040756914119,1.784
2019-02-01,1121.0,306.5,154.8,122190.0,62087.666666666664,1416.077629903235,4.6059899721989535,1.6875
2019-03-01,1191.0,308.2,154.2,122321.0,62236.333333333336,1426.3757523335807,4.656022939904255,1.7149999999999999
2019-04-01,1272.0,309.5,153.7,122515.0,62385.0,1436.52054013233,4.706139870854766,1.6100000000000003
2019-05-01,1293.0,310.2,152.6,122509.0,62597.333333333336,1446.4630740339785,4.690131931259432,1.686
2019-06-01,1243.0,309.3,154.0,122335.0,62809.666666666664,1454.5383768966813,4.674097082648152,1.7425
2019-07-01,1240.0,313.7,153.3,122333.0,63022.0,1460.4623921761124,4.658035257113598,1.6866666666666668
2019-08-01,1375.0,304.2,152.6,122739.0,63134.666666666664,1463.5767246348994,4.704418170504045,1.964
2019-09-01,1311.0,305.0,153.5,123133.0,63247.333333333336,1463.460642475853,4.750879249706917,1.8925
2019-10-01,1325.0,302.9,154.0,123820.0,63360.0,1462.100067821642,4.7974186924797415,2.002
2019-11-01,1353.0,316.9,154.3,123827.0,63045.0,1461.0760083539308,4.810764525993884,1.8633333333333333
2019-12-01,1548.0,320.6,155.2,124208.0,62730.0,1462.2579234611037,4.8241329072856605,1.84
2020-01-01,1578.0,320.8,152.9,124264.0,62415.0,1467.357362535792,4.837523893545067,1.8539999999999999
2020-02-01,1537.0,304.1,152.6,123949.0,60756.666666666664,1475.5165585062891,4.763032885979802,1.9450000000000003
2020-03-01,1252.0,302.1,148.7,124960.0,59098.333333333336,1483.8054439780988,4.689044130175498,2.5125
2020-04-01,931.0,286.9,146.8,126050.0,57440.0,1484.5092509262954,4.615552563589389,2.662
2020-05-01,1053.0,287.0,145.0,127045.0,58928.666666666664,1483.5468937751236,4.652321083172147,2.5725
2020-06-01,1254.0,287.8,146.3,127245.0,60417.333333333336,1483.8530435576288,4.688844175090666,2.445
2020-07-01,1523.0,288.6,149.0,127279.0,61906.0,1489.057858786632,4.725124288493407,2.404
2020-08-01,1401.0,288.8,153.0,127333.0,62118.666666666664,1490.4270892699867,4.760685090543501,2.2725
2020-09-01,1463.0,288.2,154.0,125497.0,62331.333333333336,1487.8676351527274,4.796010879419764,2.2225
2020-10-01,1543.0,284.3,157.1,125696.0,62544.0,1484.9662240382263,4.831103977171393,2.05
2020-11-01,1553.0,281.1,162.0,125806.0,62835.333333333336,1483.67423464608,4.89298665592188,1.9366666666666668
2020-12-01,1635.0,284.0,164.8,125913.0,63126.666666666664,1485.867159729058,4.954464380632891,1.754
2021-01-01,1639.0,286.3,162.5,125983.0,63418.0,1492.9698892460544,5.015541113308844,1.63
2021-02-01,1407.0,294.3,168.4,125855.0,63739.666666666664,1504.5048727480992,5.05321393408036,1.5250000000000001
2021-03-01,1668.0,299.9,170.4,125993.0,64061.333333333336,1519.847398371842,5.0905526512322625,1.4775
2021-04-01,1492.0,309.5,176.3,125910.0,64383.0,1539.471487344592,5.127561689669594,1.4380000000000002
2021-05-01,1607.0,322.9,178.7,126217.0,64538.666666666664,1565.362415875038,5.231794207458129,1.3425
2021-06-01,1638.0,336.9,178.7,126338.0,64694.333333333336,1595.6376096903746,5.335114468653554,1.4525000000000001
2021-07-01,1600.0,340.299,184.218,126365.0,64850.0,1627.5065228478363,5.437534397358283,1.5399999999999998
2021-08-01,1595.0,334.857,186.702,126933.0,65208.333333333336,1657.071537541654,5.499794511164893,1.55
2021-09-01,1563.0,346.891,191.037,127445.0,65566.66666666667,1680.9776751203228,5.561516777302901,1.528
2021-10-01,1587.0,356.86,198.353,127386.0,65925.0,1696.0100208541558,5.622708135270949,1.48
2021-11-01,1704.0,353.44,204.992,127357.0,65844.66666666667,1705.8656112183078,5.596375766318067,1.535
2021-12-01,1757.0,365.693,205.897,127549.0,65764.33333333333,1715.4852297066266,5.570267965348535,1.6199999999999999
2022-01-01,1712.0,367.044,209.094,127629.0,65684.0,1726.3325085604006,5.5443818718155,1.6775
2022-02-01,1742.0,367.258,214.128,127683.0,65666.33333333333,1741.7822106663416,5.614712704913484,1.8175
2022-03-01,1678.0,356.471,224.224,127410.0,65648.66666666667,1757.7784298829515,5.684108398932769,2.032
2022-04-01,1828.0,386.914,226.516,127832.0,65631.0,1778.6422013096442,5.752587481517989,2.1725
2022-05-01,1540.0,437.537,232.534,128027.0,65733.66666666667,1799.846695514465,5.716150933542238,2.36
2022-06-01,1542.0,429.9,224.582,128111.0,65836.33333333333,1822.1719735555023,5.680189382884198,2.46
2022-07-01,1392.0,444.804,224.278,128138.0,65939.0,1840.7404628903944,5.644693601391842,2.5225
2022-08-01,1520.0,458.815,214.944,128117.0,66073.0,1851.323975766653,5.628007725386002,2.3575
2022-09-01,1470.0,468.156,214.781,128667.0,66207.0,1853.9392660153912,5.611535199321459,2.62
2022-10-01,1440.0,468.11,209.579,129236.0,66341.0,1849.519826655502,5.59527195727063,2.9
2022-11-01,1420.0,461.904,212.075,129341.0,66451.66666666667,1843.5413024116192,5.5030044176454584,2.97
2022-12-01,1340.0,459.372,211.253,129612.0,66562.33333333333,1840.523422909424,5.4118944335216215,2.774
2023-01-01,1361.0,433.237,199.93,129358.0,66673.0,1842.513501833456,5.321920357275772,2.7675
2023-02-01,1404.0,446.935,193.505,129400.0,66763.66666666667,1849.4007746108907,5.46837185965317,2.555
2023-03-01,1342.0,403.374,188.045,128942.0,66854.33333333333,1861.93878468832,5.408990347484291,2.8440000000000003
2023-04-01,1368.0,400.943,182.593,129933.0,66945.0,1873.305134289442,5.348405774774865,2.8874999999999997
2023-05-01,1583.0,434.42,177.116,130190.0,67129.66666666667,1885.9536539892451,5.405067246145856,2.8649999999999998
2023-06-01,1415.0,411.803,174.979,130179.0,67314.33333333333,1894.1155063703184,5.460895635753688,2.972
2023-07-01,1473.0,436.784,175.61,130278.0,67499.0,1903.5873158986371,5.516916711301212,2.9225
2023-08-01,1305.0,452.689,175.03,130287.0,67618.66666666667,1908.83203593754,5.449550926802269,2.8899999999999997
2023-09-01,1363.0,432.525,178.395,130593.0,67738.33333333333,1910.1991346499317,5.382574434230378,2.79
2023-10-01,1365.0,408.92,177.857,131208.0,67858.0,1906.9713673905756,5.316477969388765,2.8049999999999997
2023-11-01,1510.0,396.223,178.724,131132.0,67899.0,1901.784264343602,5.316235208112776,2.9524999999999997
2023-12-01,1568.0,408.436,176.596,131277.0,67940.0,1898.809819945532,5.316485153605942,2.8675
2024-01-01,1376.0,420.196,172.009,131356.0,67981.0,1902.2375473186064,5.316243736523672,2.58
2024-02-01,1546.0,410.193,175.045,130955.0,68094.0,1911.3874532593663,5.250174677204594,2.6079999999999997
2024-03-01,1299.0,398.465,173.176,130966.0,68207.0,1924.001755399015,5.185431308492869,2.6075
2024-04-01,1377.0,400.708,174.121,131258.0,68320.0,1936.855419913829,5.120095149345474,2.4400000000000004
2024-05-01,1315.0,414.552,172.055,131456.0,68445.33333333333,1949.4150815418288,5.10938048844754,2.5740000000000003
2024-06-01,1329.0,434.674,171.892,131528.0,68570.66666666667,1960.2484893500753,5.098260863266463,2.6525
2024-07-01,1262.0,439.668,175.818,131685.0,68696.0,1968.6915535790952,5.087664813208046,2.59
2024-08-01,1379.0,432.687,174.937,132150.0,68788.0,1972.69738591862,5.089290801343117,2.574
2024-09-01,1355.0,414.282,175.155,132508.0,68880.0,1973.722919913241,5.090907703216955,2.4475
2024-10-01,1344.0,410.83,175.66,132533.0,68972.0,1969.97783050488,5.092973352632023,2.3240000000000003
2024-11-01,1305.0,391.288,176.842,132405.0,68985.99312443985,1966.8494023382505,5.042704400123505,2.4133333333333336
2024-12-01,1515.0,388.204,182.48,132276.0,69081.38026655093,1963.4257394250108,4.994463227742435,2.3049999999999997
2025-01-01,1366.0,378.846,183.01,132726.8728648345,69179.9469800652,1963.1736613426183,4.9473279674884925,2.2673455883653486
2025-02-01,,375.29329977389517,181.05127333333365,132870.97151415749,69278.51369357994,1970.2615655137342,4.9291708541772765,2.257319901940087
2025-03-01,,377.88669900892876,180.38219000000035,133001.12513290066,69367.54169288324,1976.663543474744,4.912188404012015,2.397265193569752
2025-04-01,,375.99357007481467,179.52138000000005,133145.22378222365,69466.10840639798,1983.75144764586,4.893570843325057,2.3647973935060795
2025-05-01,,377.37551586733497,179.63093333333342,133284.67408801988,69561.49554850906,1990.6107097469503,4.882235393811139,2.3600010215476313
2025-06-01,,376.3667234184687,179.65271333333342,133428.77273734286,69660.06226202333,1997.6986139180954,4.870261831897308,2.4621934389434856
